yarn run v1.22.22
$ node src PS-5918
[MONGODB CONNECTED]
zreadingId,startTrxNumber,startORNumber,endTrxNumber,endORNumber
671fe60529daf80734311595,00000000205,00000000204,00000000229,00000000228
671fe60529daf807343115b9,00000000253,00000000252,00000000288,00000000287
671fe60c29daf80734311a07,00000158178,00000158178,00000158363,00000158363
671fe61029daf80734311c24,00100043089,00100043088,00100043152,00100043151
671fe61029daf80734311c35,00100043154,00100043153,00100043206,00100043205
671fe61029daf80734311c47,00100043208,00100043207,00100043245,00100043244
671fe61429daf80734312031,00000006174,00000006170,00000006226,00000006222
671fe61629daf8073431221a,00000007929,00000007929,00000007953,00000007953
671fe61829daf80734312378,00100016279,00100016279,00100016320,00100016320
671fe61829daf807343123b0,00100016418,00100016418,00100016456,00100016456
671fe61d29daf807343127d3,00000012003,00000012003,00000012013,00000012013
671fe61d29daf807343127e4,00000012015,00000012015,00000012037,00000012037
671fe62229daf80734312e71,00000000040,00000000040,00000000049,00000000049
671fe62229daf80734312e95,00000000071,00000000071,00000000084,00000000084
671fe62329daf807343130c5,00000013213,00000013206,00000013240,00000013233
671fe62329daf807343130f3,00000013290,00000013283,00000013316,00000013309
671fe62629daf807343133c9,00000001250,00000001247,00000001261,00000001258
671fe62729daf807343135f7,00000051124,00000051124,00000051238,00000051238
671fe62729daf80734313606,00000051242,00000051242,00000051365,00000051365
671fe62c29daf80734313976,00000027733,00000027731,00000027797,00000027795
671fe62c29daf80734313988,00000027803,00000027801,00000027870,00000027868
671fe63429daf807343140e7,00000000179,00000000179,00000000185,00000000185
671fe63429daf80734314106,00000000190,00000000190,00000000191,00000000191
671fe63529daf807343142e9,00000022874,00000022867,00000022971,00000022964
671fe64329daf80734314e38,00000001794,00000001794,00000001820,00000001820
671fe64529daf80734315031,00000014513,00000014513,00000014569,00000014569
671fe64929daf807343154ee,00000021510,00000021430,00000021576,00000021496
671fe64d29daf80734315996,00000003309,00000003309,00000003310,00000003310
671fe65529daf80734316286,00000015997,00000015996,00000016026,00000016025
671fe65529daf807343162a9,00000016051,00000016050,00000016056,00000016055
671fe65c29daf807343169a8,00100013961,00100013961,00100013994,00100013994
671fe65c29daf807343169d8,00100014253,00100014253,00100014295,00100014295
671fe66329daf80734316fd5,00000003803,00000003803,00000003806,00000003806
671fe67529daf80734317eea,00000036506,00000036501,00000036554,00000036549
671fe67829daf80734318109,00500005859,00500005859,00500005872,00500005872
671fe67a29daf8073431831d,00100008131,00100008130,00100008277,00100008276
671fe67a29daf8073431832f,00100008279,00100008278,00100008471,00100008470
671fe67d29daf8073431855c,00300008923,00300008914,00300008996,00300008987
671fe68129daf80734318883,00100011824,00100011824,00100011843,00100011843
671fe68229daf80734318a95,00100040641,00100040637,00100040673,00100040669
671fe68529daf80734318e98,00300011870,00300011870,00300011917,00300011917
671fe68729daf807343190e1,00000000017,00000000017,00000000028,00000000028
671fe68829daf80734319125,00000000096,00000000096,00000000103,00000000103
671fe68829daf80734319238,00000005610,00000005607,00000005639,00000005636
671fe68829daf80734319270,00000005708,00000005705,00000005721,00000005718
671fe68a29daf80734319496,00500004893,00500004892,00500004908,00500004907
671fe68a29daf807343194a7,00500004910,00500004909,00500004923,00500004922
671fe68a29daf807343194b8,00500004948,00500004947,00500004959,00500004958
671fe68a29daf807343194e5,00500004967,00500004966,00500004978,00500004977
671fe68c29daf807343196d9,00000022395,00000022395,00000022533,00000022533
672198586aa3b66f97ec611d,00000000205,00000000225,00000000338,00000000323
672198586aa3b66f97ec6143,00000000430,00000000415,00000000510,00000000492
671fe68f29daf807343198c9,00000000696,00000000694,00000000709,00000000707
671fe68f29daf807343198dc,00000000711,00000000709,00000000746,00000000744
671fe68f29daf807343198ef,00000000775,00000000773,00000000784,00000000782
671fe69029daf80734319911,00000000788,00000000786,00000000793,00000000791
671fe69129daf80734319af0,00000000636,00000000630,00000000652,00000000646
671fe69129daf80734319b02,00000000660,00000000654,00000000668,00000000662
671fe69329daf80734319e03,00000016140,00000016139,00000016172,00000016171
671fe69329daf80734319e15,00000016186,00000016185,00000016234,00000016233
671fe6a929daf8073431b503,00000005207,00000005207,00000005212,00000005212
671fe6ab29daf8073431b6cd,00000010319,00000010308,00000010365,00000010354
671fe6ab29daf8073431b6dd,00000010370,00000010359,00000010431,00000010420
671fe6ab29daf8073431b6ed,00000010448,00000010437,00000010498,00000010487
671fe6ab29daf8073431b6fc,00000010500,00000010489,00000010520,00000010509
6721985b6aa3b66f97ec6365,00000005638,00000005638,00000005639,00000005639
671fe6ad29daf8073431b95e,00000021316,00000021316,00000021357,00000021357
671fe6ae29daf8073431bb1c,00000016871,00000016871,00000017001,00000017001
671fe6af29daf8073431bb40,00000017085,00000017085,00000017139,00000017139
671fe6b129daf8073431bd20,00000000092,00000000092,00000000103,00000000103
671fe6b129daf8073431bd7b,00000000200,00000000200,00000000207,00000000207
671fe6b129daf8073431bda8,00000000237,00000000237,00000000255,00000000255
671fe6b429daf8073431c005,00800008765,00800008764,00800008849,00800008848
671fe6b629daf8073431c2a2,00000003184,00000003178,00000003194,00000003188
671fe6b829daf8073431c4a9,00000001398,00000001398,00000001423,00000001423
671fe6bf29daf8073431c8b7,00000005737,00000005737,00000005749,00000005749
671fe6c629daf8073431d1f1,00000002986,00000002985,00000003006,00000003005
671fe6ce29daf8073431dc48,00100001598,00100001598,00100001609,00100001609
671fe6cf29daf8073431dca9,00100001639,00100001639,00100001641,00100001641
671fe6d029daf8073431debe,01100081822,01100081808,01100081930,01100081916
671fe6d329daf8073431e0fd,00800027309,00800027299,00800027330,00800027320
671fe6d329daf8073431e120,00800027335,00800027324,00800027392,00800027381
671fe6d329daf8073431e13a,00800027396,00800027385,00800027437,00800027426
671fe6d329daf8073431e152,00800027439,00800027428,00800027460,00800027449
671fe6d529daf8073431e42b,00100000796,00100000796,00100000798,00100000798
