yarn run v1.22.22
$ node src PS-5918
[MONGODB CONNECTED]
2024-11-06T05:08:00.220Z Start
zreadingId,startTrxNumber,startORNumber,endTrxNumber,endORNumber
66fc4924f977d1000707bb1c,00100004786,00100004786,00100004788,00100004788
66fc0ea9365ec60007006e5c,00000006201,00000006199,00000006214,00000006212
66fad0ffdc2e66000648a8c8,00000066191,00000066191,00000066255,00000066255
66f5728ebed9ca0007b4e476,00000001182,00000001182,00000001188,00000001188
66f82341735b590007f3fb9f,00000001217,00000001217,00000001247,00000001247
66f967c3040b5c00071e8608,00000001249,00000001249,00000001277,00000001277
66fac70b8da2630007008526,00000011743,00000011730,00000011760,00000011747
66fc011341e7b00007423bd8,00400001186,00400001186,00400001194,00400001194
66faa589f6e6b00007ce659a,00000007217,00000007217,00000007264,00000007264
6716504e97405e0008b4624b,00000018394,00000018372,00000018458,00000018436
66ffde31e817260007f3e1dd,00300144067,00300144065,00300144228,00300144226
67095d61f6da9a0007345067,00000007127,00000007125,00000007156,00000007154
66fd47935b7a450007cdfca0,00000000545,00000000545,00000000560,00000000560
66fa9b971d65e1000869aa11,00000008174,00000008174,00000008208,00000008208
6707c34e225a2300077b6879,00000000686,00000000684,00000000690,00000000688
670a92f52f0c2000071b55ff,00000000704,00000000702,00000000720,00000000718
670bdfd0bbb1da00070a6a14,00000000722,00000000720,00000000745,00000000743
66fbf2e1f6e6b00007efe911,00000017640,00000017603,00000017672,00000017635
670538e08a715500078d97e6,00000013883,00000013880,00000013919,00000013916
67054a47f9590d000781dd3e,00000001487,00000001483,00000001496,00000001492
66fab3511d65e100086c8975,00000000087,00000000087,00000000094,00000000094
66fd47f641e7b0000761f1a2,01900011002,01900011002,01900011021,01900011021
66fb69a38da26300070874ec,00000002745,00000002745,00000002807,00000002807
66fc1090f6e6b00007f2a856,00000019900,00000019897,00000019930,00000019927
66facb4ac9f4550008b61ac6,00000009084,00000009081,00000009122,00000009119
6707d10ae844fa0007af6c18,00000002558,00000002557,00000002580,00000002579
67069ec70f3a09000798727b,00000000666,00000000664,00000000668,00000000666
66fab146095ff50007688be8,00000106363,00000106351,00000106446,00000106434
66fa47814ac6e3000748eb37,00000000062,00000000061,00000000068,00000000067
6706a3f222c9d800074e5ebc,00000012710,00000012659,00000012761,00000012710
66f525bd04733900078fdb05,00300006020,00300006018,00300006031,00300006029
66faef0aeca080000646be4a,00000001249,00000001249,00000001254,00000001254
66fbc84dc5a5050007803e50,00000033988,00000035650,00000034000,00000035662
6705339a09641b00075525ab,00000007924,00000007923,00000007936,00000007935
66fe3845c5a5050007b83b24,00000010880,00000010871,00000010912,00000010903
66fb58191ced94000651ad1d,00000011424,00000011285,00000011436,00000011297
done
Done in 1.23s.
