business,registerId,transactionId,receiptNumber,preOrderId,ErrorType,ShiftId1,ShiftId2
lingnamcaloocan,656d606ee1d7560007299b0e,e032e81d-3e55-49f8-b096-1254e8e0a771,00100016323,,,,
lingnamcaloocan,656d606ee1d7560007299b0e,9df26d23-eefd-4428-aa98-42fbcc3dbaea,00100016458,,,,
designstory,65c303744fe4ffc368d2c74d,8b8e079e-8054-4a8e-9af4-e1465c16eca2,00200004542,,,,
thevaultroomcebu,64abbf3af78336000725f9a3,dfa74d4a-2269-4a81-add6-ea19af0effc8,00000001725,,,,
jiahkitchen,663c381a1333bf0007af7545,7a354675-0604-41a4-8123-6abc7e8f520b,00000000004,,,,
one80restaurant2024,659fb1c2533eca0007659de6,3cf4de65-54ca-4760-ad8a-2821736fed3c,00100001610,,,,
one80restaurant2024,659fb1c2533eca0007659de6,51c04346-746d-48fa-a4ff-e79ad53a2946,00100001619,,,,
animalwellness,58638156168c89935d76ce0c,c92afa4c-c43a-4329-b532-b63d6e6c6ac6,00100084596,,,,
fatdaddyfriedchicken,65657f05c17276000722dbc4,30cbfaf4-b3c4-4e01-b0e9-589effb6705a,00100012088,,,,
fatdaddyfriedchicken,65657f05c17276000722dbc4,fbefb619-440f-493f-a991-ad04f034ddd9,00100012089,,,,
fatdaddyfriedchicken,65657f05c17276000722dbc4,861be2ca-a236-4a64-a3d6-33b2a6ec9203,00100012387,,,,
fatdaddyfriedchicken,65657f05c17276000722dbc4,2361110b-dc2d-41dc-9176-e19b7eba4367,00100012787,,,,
