business,storeId,registerId,zreadingId,startTrxNumber,startORNumber,endTrxNumber,endORNumber
cozecafe,665404231981ca000791cbd8,665404231981ca000791cbda,671fe60529daf80734311595,203,202,229,228
cozecafe,665404231981ca000791cbd8,665404231981ca000791cbda,671fe60529daf80734311595,205,204,229,228
cozecafe,665404231981ca000791cbd8,665404231981ca000791cbda,671fe60529daf807343115b9,252,251,288,287
cozecafe,665404231981ca000791cbd8,665404231981ca000791cbda,671fe60529daf807343115b9,253,252,288,287
drwinebgccorp,62a2fc88246bfe0009b14d9d,62a2fc88246bfe0009b14d9e,671fe60c29daf80734311a07,158176,158176,158363,158363
drwinebgccorp,62a2fc88246bfe0009b14d9d,62a2fc88246bfe0009b14d9e,671fe60c29daf80734311a07,158178,158178,158363,158363
krapow2020,62d5302bf4d00c0006b38d6d,62d67bb669a7e600082e45a8,671fe61029daf80734311c24,43085,43084,43152,43151
krapow2020,62d5302bf4d00c0006b38d6d,62d67bb669a7e600082e45a8,671fe61029daf80734311c24,43089,43088,43152,43151
krapow2020,62d5302bf4d00c0006b38d6d,62d67bb669a7e600082e45a8,671fe61029daf80734311c35,43153,43152,43206,43205
krapow2020,62d5302bf4d00c0006b38d6d,62d67bb669a7e600082e45a8,671fe61029daf80734311c35,43154,43153,43206,43205
krapow2020,62d5302bf4d00c0006b38d6d,62d67bb669a7e600082e45a8,671fe61029daf80734311c47,43207,43206,43245,43244
krapow2020,62d5302bf4d00c0006b38d6d,62d67bb669a7e600082e45a8,671fe61029daf80734311c47,43208,43207,43245,43244
abrahambohol,651a55cd0887a30007208aea,651a55cd0887a30007208aec,671fe61429daf80734312031,6173,6169,6226,6222
abrahambohol,651a55cd0887a30007208aea,651a55cd0887a30007208aec,671fe61429daf80734312031,6174,6170,6226,6222
locavore-greenhills,65e66c376863dc0007e268ce,65e66c376863dc0007e268d0,671fe61629daf8073431221a,7926,7926,7953,7953
locavore-greenhills,65e66c376863dc0007e268ce,65e66c376863dc0007e268d0,671fe61629daf8073431221a,7929,7929,7953,7953
lingnamcaloocan,655abd8f4fa62d000705af88,656d606ee1d7560007299b0e,671fe61829daf80734312378,16279,16279,16322,16322
lingnamcaloocan,655abd8f4fa62d000705af88,656d606ee1d7560007299b0e,671fe61829daf80734312378,16279,16279,16320,16320
lingnamcaloocan,655abd8f4fa62d000705af88,656d606ee1d7560007299b0e,671fe61829daf807343123b0,16418,16418,16457,16457
lingnamcaloocan,655abd8f4fa62d000705af88,656d606ee1d7560007299b0e,671fe61829daf807343123b0,16418,16418,16456,16456
lerevepatisserie,5e4b6dc364518c1707ee44d4,5e4b6dc364518c1707ee44d5,671fe61d29daf807343127d3,12002,12002,12013,12013
lerevepatisserie,5e4b6dc364518c1707ee44d4,5e4b6dc364518c1707ee44d5,671fe61d29daf807343127d3,12003,12003,12013,12013
lerevepatisserie,5e4b6dc364518c1707ee44d4,5e4b6dc364518c1707ee44d5,671fe61d29daf807343127e4,12014,12014,12037,12037
lerevepatisserie,5e4b6dc364518c1707ee44d4,5e4b6dc364518c1707ee44d5,671fe61d29daf807343127e4,12015,12015,12037,12037
wellbainc,65814e19387a280007830285,65814e19387a280007830289,671fe62229daf80734312e71,39,39,49,49
wellbainc,65814e19387a280007830285,65814e19387a280007830289,671fe62229daf80734312e71,40,40,49,49
wellbainc,65814e19387a280007830285,65814e19387a280007830289,671fe62229daf80734312e95,70,70,84,84
wellbainc,65814e19387a280007830285,65814e19387a280007830289,671fe62229daf80734312e95,71,71,84,84
iveganrestaurantinc,64c34b1ed10bc8000736b079,64c34b1ed10bc8000736b07b,671fe62329daf807343130c5,13211,13204,13240,13233
iveganrestaurantinc,64c34b1ed10bc8000736b079,64c34b1ed10bc8000736b07b,671fe62329daf807343130c5,13213,13206,13240,13233
iveganrestaurantinc,64c34b1ed10bc8000736b079,64c34b1ed10bc8000736b07b,671fe62329daf807343130f3,13286,13279,13316,13309
iveganrestaurantinc,64c34b1ed10bc8000736b079,64c34b1ed10bc8000736b07b,671fe62329daf807343130f3,13290,13283,13316,13309
carmelossteakhouse,6569519da187b500072c002e,6569519da187b500072c0033,671fe62629daf807343133c9,1249,1246,1261,1258
carmelossteakhouse,6569519da187b500072c002e,6569519da187b500072c0033,671fe62629daf807343133c9,1250,1247,1261,1258
introlounge,64b4d6e7a2827e00074a1772,64b4d6e7a2827e00074a1774,671fe62729daf807343135f7,51097,51097,51238,51238
introlounge,64b4d6e7a2827e00074a1772,64b4d6e7a2827e00074a1774,671fe62729daf807343135f7,51124,51124,51238,51238
introlounge,64b4d6e7a2827e00074a1772,64b4d6e7a2827e00074a1774,671fe62729daf80734313606,51239,51239,51365,51365
introlounge,64b4d6e7a2827e00074a1772,64b4d6e7a2827e00074a1774,671fe62729daf80734313606,51242,51242,51365,51365
famouscountrywaffle,65b76f036859a4000600bb10,65b76f036859a4000600bb12,671fe62c29daf80734313976,27722,27720,27797,27795
