business,storeId,registerId,zreadingId,startTrxNumber,startORNumber,endTrxNumber,endORNumber,needFixMin,needFixMax,modifyTimeWrong
west103,619dfa2074cf730006357812,64f13f8c07afb700073652b4,66fc4924f977d1000707bb1c,4783,4783,4788,4788,needFixMin,,
snoozecafeandbar,64a29b5d8944e10006250d09,64a29b5d8944e10006250d0b,66fc0ea9365ec60007006e5c,6200,6198,6214,6212,needFixMin,,
ohayo,62d921c4be500d0007d60cb1,62d921c4be500d0007d60cb2,66fad0ffdc2e66000648a8c8,66189,66189,66255,66255,needFixMin,,
atinacafecorp,65b31520d0541100088da54e,65b31520d0541100088da551,66f5728ebed9ca0007b4e476,1181,1181,1188,1188,needFixMin,,
atinacafecorp,65b31520d0541100088da54e,65b31520d0541100088da551,66f82341735b590007f3fb9f,1216,1216,1247,1247,needFixMin,,
atinacafecorp,65b31520d0541100088da54e,65b31520d0541100088da551,66f967c3040b5c00071e8608,1248,1248,1277,1277,needFixMin,,
manduca,63c0034acec98b0009a359c6,63c0034acec98b0009a359c8,66fac70b8da2630007008526,11741,11728,11760,11747,needFixMin,,
houseofwagyu,661ded6e35189700074745c5,661def3505db89000772efa2,66fc011341e7b00007423bd8,1184,1184,1194,1194,needFixMin,,
dragonflycafe,6566d63d4f78bb0007a98f63,6566d63d4f78bb0007a98f65,66faa589f6e6b00007ce659a,7213,7213,7264,7264,needFixMin,,
ajiichiban,6639efd54694700008d7ccc6,6639efd54694700008d7ccc8,6716504e97405e0008b4624b,18393,18371,18458,18436,needFixMin,,
theabacagroup,6209c618f29342000684688c,624b01ce2f8651000871c220,66ffde31e817260007f3e1dd,144062,144060,144228,144226,needFixMin,,
alphagolf,655721bd0220670008f51444,655721bd0220670008f51446,67095d61f6da9a0007345067,7125,7123,7156,7154,needFixMin,,
amarelacucinacalasiao,624c04c5e611d700073ec2f3,624c04c5e611d700073ec2f4,66fd47935b7a450007cdfca0,544,544,560,560,needFixMin,,
camino,64c088bc411318000710b0ae,64c088bc411318000710b0bd,66fa9b971d65e1000869aa11,8173,8173,8208,8208,needFixMin,,
altitudecraftcoffee,66a347595799a300067b42ff,66a347595799a300067b4303,6707c34e225a2300077b6879,685,683,690,688,needFixMin,,
altitudecraftcoffee,66a347595799a300067b42ff,66a347595799a300067b4303,670a92f52f0c2000071b55ff,703,701,720,718,needFixMin,,
altitudecraftcoffee,66a347595799a300067b42ff,66a347595799a300067b4303,670bdfd0bbb1da00070a6a14,721,719,745,743,needFixMin,,
nimobrew,601232c3163b800006ef9390,601232c3163b800006ef9391,66fbf2e1f6e6b00007efe911,17639,17602,17672,17635,needFixMin,,
odenhousejapaneserestaurant,64000afd690051000737abc4,64000afd690051000737abc6,670538e08a715500078d97e6,13881,13878,13919,13916,needFixMin,,
almapoblacion,661e14dc348cb20007512249,661e14dc348cb2000751224e,67054a47f9590d000781dd3e,1485,1481,1496,1492,needFixMin,,
morethancoffee,666be44d0edbaf000762bb90,666be44d0edbaf000762bb94,66fab3511d65e100086c8975,84,84,94,94,needFixMin,,
theabacagroup,651c28ccba58a800073d34d6,650c1003a797fb0007785dc3,66fd47f641e7b0000761f1a2,11000,11000,11021,11021,needFixMin,,
minante,6630c09b66dfbd00071b0060,6630c09b66dfbd00071b0062,66fb69a38da26300070874ec,2744,2744,2807,2807,needFixMin,,
roquefortinc,6573e4d01bed78000856bdde,653a0ed3f1fb720007819dbc,66fc1090f6e6b00007f2a856,19899,19896,19930,19927,needFixMin,,
lagrima,65d412b7b4db04000760aa2d,65d412b7b4db04000760aa56,66facb4ac9f4550008b61ac6,9080,9077,9122,9119,needFixMin,,
piyestambayan,6629c26b1b84230007542ce3,6629c26b1b84230007542ce5,6707d10ae844fa0007af6c18,2557,2556,2580,2579,needFixMin,,
lemmys,667d1281cfe6a9000791c2d7,667d1281cfe6a9000791c2d9,67069ec70f3a09000798727b,665,663,668,666,needFixMin,,
butteryandco,5ffe5f8a4acfc90006d1f466,5ffe5f8a4acfc90006d1f467,66fab146095ff50007688be8,106357,106345,106446,106434,needFixMin,,
robcomputershop,6487dc8acb811f0007c431ad,63e9ff2d3991c8000700be75,66fa47814ac6e3000748eb37,59,58,68,67,needFixMin,,
disciplebrew,653b6564f9ed5c0007b5f6df,653b6564f9ed5c0007b5f6e1,6706a3f222c9d800074e5ebc,12709,12658,12761,12710,needFixMin,,
opcfactoryoutletcaloocan,65489b8b5711190007e0adab,65277ce9c8c30e00064a270f,66f525bd04733900078fdb05,6013,6011,6031,6029,needFixMin,,
afterhoursbar,5dc4d2b8a30cd37bccbb1a8e,5dc4d2b8a30cd37bccbb1a8f,66faef0aeca080000646be4a,1245,1245,1254,1254,needFixMin,,
artcirclecafe,5b16288c16526d2e4ee54289,5b16288c16526d2e4ee5428a,66fbc84dc5a5050007803e50,33985,35647,34000,35662,needFixMin,,
yumenoaji3,6423eb90734c1e0007ba7c83,6423eb90734c1e0007ba7c85,6705339a09641b00075525ab,7923,7922,7936,7935,needFixMin,,
westprimehotelrestaurant,64548a877e32d900077d53d4,64548a877e32d900077d53d6,66fe3845c5a5050007b83b24,10878,10869,10912,10903,needFixMin,,
pcogroupventuresopc,649da3215cf7f80007df76aa,62739b084f83180008ddf4ff,66fb58191ced94000651ad1d,11423,11284,11436,11297,needFixMin,,
