"business","registerid","storeid"
ace28,"665ed5095698180008a7feb1","665ed5095698180008a7feaf"
bighappynoodle,"65d463b2de2f0d00079a828a","65d463b2de2f0d00079a8288"
hpsigbf,"659b8abc5b17b500079d491f","659b8abc5b17b500079d491d"
asiafoodventure,"633276b2043e0600082263b7","6332764031ddf3000849248c"
knockknock,"62cba01df6ef190008a138e0","62cba01df6ef190008a138df"
samuclaypot,"647ab339e1a17f0009600bf6","647052bb8dbe8400079510d0"
alqaysarestaurant,"660f631c8397df0007af1b10","65fcf28607c1a0000670d766"
donsuazcigar,"62c53c35e2eb290007762ed2","62c54d2af701b9000775e7f6"
pisanggorengnurulfaqar,"635b762dedc7870007ddfd8e","635b762dedc7870007ddfd8c"
alarabymathaam,"63e4a5a23f06090007c5eafc","63afa953b2864a0008e272c5"
dongkeyrestaurant,"647f3cb0a4776b00074d90c1","647f3cb0a4776b00074d90be"
lengkeebkt,"65b08828ba6841000708330e","65b08828ba6841000708330c"
restoranamirtomyam,"5dce70819d40fb5e0265f394","5dce70819d40fb5e0265f393"
sooraapremiumindianclub,"6305dda9c506060008b5f81c","6305dda9c506060008b5f818"
superkitchen,"66f3b120fc087f0007cd1740","66f3b0bb9f095300078662ad"
kulaanconer,"6628b058c393c600070f1f9b","6628b058c393c600070f1f99"
