"business","registerid"
threeguysbangsar,"64c8bd1a07f67d00075193ff"
lakesidemookata,"646b4bb30f91cc000731eef3"
hainamislandkopitiam,"660bbf1340f0c800065f28c5"
veggiology,"5f34db34ed1f8a000635a44c"
coffeeorigins,"5d5ca7609d7b6556ab2200a1"
restoranbahao,"66715420dd4a480007396d15"
brixsvape,"65a0b8b9d3b27000086cd06f"
menyaappare,"669f82cfc2d52a000745ba01"
lorong7cafe,"5f57996ddaa4840006b1cc8a"
thai-mango,"64f683107f5e410007c333ac"
spiceandrhythm,"65b0f741d9f31500067b8cb6"
nuiloa,"6613ab05f0ef3f00071d824d"
badcafemwt,"642c237832a2a30008a299a3"
teapluz,"641f00f6f2ad050008a1bdb8"
sabeverages,"66315cca770e2300070d4266"
cdccafe,"60c8636a2fdcb100062d5dd4"
thirstymonkeys,"62a9a6eb496ea80008dbf46f"
flat18,"65cb8fd772b28b0006f529e0"
yahukitchen,"65e97f40eaecb70007dcb6a7"
qinwangbar,"61eb578ba5084d000679473d"
"1299","656d781f0b371b0007a43339"
restoranfamidahnasikandar,"649422e1d160fb00097ea9b6"
tjantekcafe,"63ae8440916a8d0008c077cc"
lhmkopitiam,"66335c1f4694700008374d26"
littlechennaidarbar,"6412896e37adf300073fca78"
dmantinfoodcourt,"6332e35c67f6460008f5ca4a"
sikthongba,"5e26b4b191634c1c8c0fb652"
cdcgroup,"6662aaca3a7a7e0008b742f4"
coliseumcafekl,"5fd0c181b84c0e00064b9fc2"
mukbangbuffet,"6454d316a86ab5000914d356"
berkatmadinahrestaurant,"645af923a9af2800071282d0"
monograph,"65961fa8029f580006e3c34a"
wofs,"61d587cb2e5fa20007c21827"
boutiqueinnsplt,"5b9398e5d143fc7cc98df04d"
n97group,"66ed18cec8c18a0007b14343"
thehideout,"5f1008eb992bcd00068b8af6"
introlounge,"64b4d6e7a2827e00074a1774"
bichonusm,"6690fdd886cb20000732bef0"
bespokevoyager,"6656f598bc21e40006c145ad"
dsplacebkk,"5f6d82cedc0e0400063f254d"
roquefortinc,"653a0ed3f1fb720007819dbc"
popsicolakl,"65531cd5fd127900072a82d0"
brittanyhotel,"645efba68f0de2000804814c"
borneoplasticssdnbhd,"59db56978856d69303bcb72f"
tsumuramakati,"65a8d5cdaa6615000744f99a"
himorningsdnbhd,"5acc32700e1f715668274de9"
restorancangkirwaleed,"64daca95ec45a50008951ce7"
titaleasfoodspecialties,"646566b48923890007ba714a"
classicaccessorie,"66d57924bac4420007e910ed"
brittanyhotelvillarcity,"65af08388611fc00076d7643"
w1dining,"6690a7dcba5e1100063d09c2"
horafelizkitchenbar,"6516b65aba58a80007a25a1a"
annex-housebistro,"652f98c62515580007612a98"
skylinesportsandsocial,"6620cad04f3bea0007cb77e9"
liaamira,"65ade4fd0806e1000757e21e"
langhiamkopitiam,"6371f8d02559530008d54f42"
hallowridgefilipinasgolf,"6495551fab00a5000747cf8e"
bfgikanbakarstation,"66dc01725cf3340006e0b4ec"
ascotteahouse,"62c551b75ca91600093e2ffc"
paktamlaksa,"6653cabb1012870007aebdef"
sizzleandsauce,"6594c25d3154f70007e1674e"
restoranmahabbah,"665feb351be3010007aa4b99"
pacificpoint,"64264739dcfbbb00076b887a"
botheavocado,"612747be32b4d70006484cbc"
