"business","registerid","storeid"
ace28,"665ed5095698180008a7feb1","665ed5095698180008a7feaf"
bighappynoodle,"65d463b2de2f0d00079a828a","65d463b2de2f0d00079a8288"
hpsigbf,"659b8abc5b17b500079d491f","659b8abc5b17b500079d491d"
asiafoodventure,"633276b2043e0600082263b7","6332764031ddf3000849248c"
knockknock,"62cba01df6ef190008a138e0","62cba01df6ef190008a138df"
samuclaypot,"647ab339e1a17f0009600bf6","647052bb8dbe8400079510d0"
alqaysarestaurant,"660f631c8397df0007af1b10","65fcf28607c1a0000670d766"
donsuazcigar,"62c53c35e2eb290007762ed2","62c54d2af701b9000775e7f6"
pisanggorengnurulfaqar,"635b762dedc7870007ddfd8e","635b762dedc7870007ddfd8c"
alarabymathaam,"63e4a5a23f06090007c5eafc","63afa953b2864a0008e272c5"
dongkeyrestaurant,"647f3cb0a4776b00074d90c1","647f3cb0a4776b00074d90be"
lengkeebkt,"65b08828ba6841000708330e","65b08828ba6841000708330c"
restoranamirtomyam,"5dce70819d40fb5e0265f394","5dce70819d40fb5e0265f393"
sooraapremiumindianclub,"6305dda9c506060008b5f81c","6305dda9c506060008b5f818"
superkitchen,"66f3b120fc087f0007cd1740","66f3b0bb9f095300078662ad"
kulaanconer,"6628b058c393c600070f1f9b","6628b058c393c600070f1f99"
"1mcafe","659e39538d81be00072d3f49","659e39538d81be00072d3f47"
tossedtoast,"63b3e2a40bfd060007e4a89c","63b3e2a40bfd060007e4a89a"
thebistrobyleblanc,"662eff58dced8e00084b76ba","662efd40cac575000716519c"
bakefieldbakery,"6662aa32a4ea8600073776f0","6662aa32a4ea8600073776ee"
sisbcm,"65c34ff37ede63000768dd48","65c34ff37ede63000768dd46"
mmfssi,"65e9264651d6ea00074d4c95","65e92615cff59c000872eb5f"
theweekend,"6141c3aebead9d0006603c03","611de70671e8d000072a38de"
titaleasfoodspecialties,"64145e1152383100084bceaf","64145e1152383100084bcead"
auntiefoocafe,"66ac44702416bf0007b86a9e","66ac44702416bf0007b86a9c"
dabao,"5e135a8374fcd92010922188","5e135a8374fcd92010922187"
alwayssarahcafe,"66cedf7532c067000721e4b7","66cedf7532c067000721e4b5"
sinlanramen,"658a7c67860ec10008e1e6e4","658a7c67860ec10008e1e6e2"
aromabrewartisan,"5cdc66c961efa80fb7320b0d","5cdc66c961efa80fb7320b0c"
theextend,"6628d5a2dced8e0008ba3666","6628d5a2dced8e0008ba3664"
trademarkcebu,"622ee2b4d73a9300086c91d5","61ee23573db17a00066c88d7"
yasausage,"604a9a9e180341000626c6b2","604a9a9e180341000626c6b1"
cmr,"6270fbf552b1303eafdb3581","63eb6fddd199250007e95cd8"
mukbangbuffet,"6454d316a86ab5000914d356","6454d316a86ab5000914d350"
tongsammatyirestaurant,"5d9ae5bb9eb93350503ec5cd","5d9ae5bb9eb93350503ec5cc"
rajanasiayam,"648004fd1750470007a4ed8e","648004fd1750470007a4ed8c"
yellowbakedaysdnbhd,"65dc4491b15b8800071f693f","65dc4491b15b8800071f6938"
redgoldrestaurant,"652668bf9d7ef000075e58e2","5e8450590f25c16d25d71043"
cheongkeebakkutteh,"663868c0a5bc2c0008d17cd7","62c4039a6468320008de34b7"
fbebrewingpointinc,"65e97e76f331980007c9987c","65e88c21d3e33a000616693c"
tmusj10,"5dac91870af6705dfe2e23a3","5da6bf8b2349012c915107de"
twinsbistro,"5bfcce7721b13b6eab98cfb8","5bfcce7721b13b6eab98cfb7"
deltachenangresort,"637203eafc49b60007b45e2a","637203eafc49b60007b45e28"
nimobrew,"601232c3163b800006ef9391","601232c3163b800006ef9390"
madeleine,"639acbd6f6f61d000711fb9b","639acad4b9be6a0007514bb3"
whereelsecafe,"5e75b6dc3256434ad2007074","5e75b6dc3256434ad2007073"
asianthairestaurant,"66b03c4708d569000722e743","66b03c4708d569000722e741"
shinyajapaneserestaurant,"64df2a7766b1a2000774abff","64df2a7766b1a2000774abf8"
tingkapcafe,"63d46a6a8c3bad0008f5e7b2","63d46a6a8c3bad0008f5e7b0"
crunchieco,"63e2fc4d9b3ef60008a0b1b0","63e2fc4d9b3ef60008a0b1ae"
nonstopkopitiam,"6426fbfd0010a00008e4c7ab","6426fbfd0010a00008e4c7a9"
drafted,"65be28e89188bc00064a20c0","65be28e89188bc00064a20be"
yakyim,"635895eff69f4e0007b9888e","635895eff69f4e0007b9888c"
chefsengkee,"6622305307ed8b0006963f97","6622305307ed8b0006963f95"
kbbrewsterpasirmas,"63ff1f06abde880007d75198","63ff1f06abde880007d75194"
nohanaikanbakar,"642e7fc1135edc000805a240","642e7fc1135edc000805a23e"
earlybirdcafe,"653b8f276084d60007fddc91","653b8f276084d60007fddc8f"
restorandauntintap,"6593c8465127f6000742da39","6593c8465127f6000742da32"
flymetokl,"635cc0c719138f0007e3338b","635cc0c719138f0007e33384"
simplicityfoodbeverageenterprise,"5cfd161e7f114b50c0faadba","5cfd161e7f114b50c0faadb9"
paolopaologelato,"6374ae8519553800082e8a2c","6374ae8519553800082e8a1d"
eraya,"66fb950cbed9ca00074c5d06","66fb950cbed9ca00074c5d04"
restaurantseafoodchiemchoo,"5d5f661a6b5e9e215ba8c205","5d5f661a6b5e9e215ba8c204"
buanambanraothai,"63ae452eedcae10008b24df7","63ae452eedcae10008b24df5"
radiantaajsdnbhd,"5daebc3b763aaf7019fcaabb","5daebc3b763aaf7019fcaa91"
yakinikushinheesanchatei,"654de77445d0a10007d17d32","6544c51b74d1fc0007861a32"
oceancafepenang,"650a60a09d86ef0007011730","650a60a09d86ef000701172e"
kanamitini,"65604b4ccdd1450007e9e79a","65604b4ccdd1450007e9e798"
jrjelirarestoran,"66ab331a7cf5a2000796f48c","66ab331a7cf5a2000796f48a"
westernexpressmalaysia,"5d91a52342e8c329fa951422","5d91a52342e8c329fa951421"
niramitglobal,"667156d1385e34000864deca","667156d1385e34000864dec6"
tongsuiinthecupcafe,"66ac9037aad68600074e02f1","66ac9037aad68600074e02ee"
easterncrabhouse,"62d91e7f5e86010007185039","62d91e7f5e86010007185038"
organaturelink,"635268ce7e454900071b9545","635268ce7e454900071b9542"
nasiayamsgbesilamanirfoodcourt,"6558730b57ce8a000706b3da","6558730b57ce8a000706b3d6"
tastyhabitfoodinc,"638fcf11044bbf0007a343e1","638fce4a55f37c0009406634"
dianhuosteamboat,"601a180ba6f5f000074c9ed9","601a180ba6f5f000074c9ed7"
yeahcafe,"6141bcddbead9d00065effb2","6141bcddbead9d00065effb1"
kogikoreanbbqrestaurant,"6362180b538f3e0008d8e8c3","6362180b538f3e0008d8e8c1"
vitaminfactoryjuicesmoothies,"65f262ce460db181f6744b80","660cf4e4f973590008e868f7"
lutgardos,"651fa7125b38a70007c8f70d","651fa7125b38a70007c8f70b"
vaporvillage,"635c0d40edc7870007fc57f3","63560eab613a54000895a411"
hakguangfoong,"64336ae3ce317d0006b7fedb","64336ae3ce317d0006b7fed9"
sienskitchen,"66012ba0d60147000761a175","66012ba0d60147000761a173"
threemonkeyscafe,"66e8daa766eac20007d0d475","66e8daa766eac20007d0d473"
odenhousejapaneserestaurant,"64000afd690051000737abc6","64000afd690051000737abc4"
thebrewmancoffee,"64c3266207f67d000789d85c","64c3266207f67d000789d85a"
nomadkopifi,"663c7e0db9d1ed000631a081","663c7d9e5a8d54000794af8b"
layer28coffee,"65410a41ae467a00076ba8dc","65410a41ae467a00076ba8da"
ginopizza,"64756f0f57bd0a0007c204ac","64756f0f57bd0a0007c204a6"
