"business","registerid","storeid"
cozecafe,"665404231981ca000791cbda","665404231981ca000791cbd8"
drwinebgccorp,"62a2fc88246bfe0009b14d9e","62a2fc88246bfe0009b14d9d"
krapow2020,"62d67bb669a7e600082e45a8","62d5302bf4d00c0006b38d6d"
haymekatalina,"663448bc498993000752a479","663448bc498993000752a477"
kimpana,"639fcc938406540008fafc8d","6332497e810aed0006b72106"
roguesquadron5,"5c9ddcb11522712b0ac3361b","5c9ddcb11522712b0ac3361a"
abrahambohol,"651a55cd0887a30007208aec","651a55cd0887a30007208aea"
west103,"64f13f8c07afb700073652b4","619dfa2074cf730006357812"
mtksignaturecafe,"65533d64c778b90007f2f4dc","65533d64c778b90007f2f4da"
locavore-greenhills,"65e66c376863dc0007e268d0","65e66c376863dc0007e268ce"
southbankcapcom,"637f183c8cda040007c5ca20","637f183c8cda040007c5ca1e"
snoozecafeandbar,"64a29b5d8944e10006250d0b","64a29b5d8944e10006250d09"
lingnamcaloocan,"656d606ee1d7560007299b0e","655abd8f4fa62d000705af88"
