business,registerId,storeId
cozecafe,"665404231981ca000791cbda","665404231981ca000791cbd8"
drwinebgccorp,"62a2fc88246bfe0009b14d9e","62a2fc88246bfe0009b14d9d"
krapow2020,"62d67bb669a7e600082e45a8","62d5302bf4d00c0006b38d6d"
haymekatalina,"663448bc498993000752a479","663448bc498993000752a477"
kimpana,"639fcc938406540008fafc8d","6332497e810aed0006b72106"
roguesquadron5,"5c9ddcb11522712b0ac3361b","5c9ddcb11522712b0ac3361a"
abrahambohol,"651a55cd0887a30007208aec","651a55cd0887a30007208aea"
west103,"64f13f8c07afb700073652b4","619dfa2074cf730006357812"
mtksignaturecafe,"65533d64c778b90007f2f4dc","65533d64c778b90007f2f4da"
locavore-greenhills,"65e66c376863dc0007e268d0","65e66c376863dc0007e268ce"
southbankcapcom,"637f183c8cda040007c5ca20","637f183c8cda040007c5ca1e"
snoozecafeandbar,"64a29b5d8944e10006250d0b","64a29b5d8944e10006250d09"
lingnamcaloocan,"656d606ee1d7560007299b0e","655abd8f4fa62d000705af88"
legaleatiesfoodinc,"64fac70f96fa380007dc4a92","64fac70f96fa380007dc4a8f"
lerevepatisserie,"5e4b6dc364518c1707ee44d5","5e4b6dc364518c1707ee44d4"
onamirestaurant,"606ac3639c3077000798fbd3","6076828713d21a000713ef1c"
seltsam,"5ff31a2d9c11330006dbab46","5ff31a2d9c11330006dbab45"
juhacafe,"66c6def886176d0007ab9c8d","66c6def886176d0007ab9c8b"
ragingbullburgers,"649d533d8cfd170008f323c2","64829f152e7b280008a85d6e"
anikaislandresort,"650126a47124ed0007684f30","650126a47124ed0007684f2e"
bokkoreanfriedchicken,"6357a40cad17f70007f5053c","6357b620694d640009cee8c3"
ohayo,"62d921c4be500d0007d60cb2","62d921c4be500d0007d60cb1"
bryellefoods,"63b5547a202918000771fc4f","63b5547a202918000771fc4d"
animalwellness,"6513c85804af4e000799a2ad","64da24544d14bd000747b594"
wellbainc,"65814e19387a280007830289","65814e19387a280007830285"
iveganrestaurantinc,"64c34b1ed10bc8000736b07b","64c34b1ed10bc8000736b079"
carmelossteakhouse,"6569519da187b500072c0033","6569519da187b500072c002e"
pinorestaurantph,"612d996207f13b00065bd8fa","60e672cdd0ec07000682bd0f"
introlounge,"64b4d6e7a2827e00074a1774","64b4d6e7a2827e00074a1772"
commonlyuncommoncoffee,"6203ed1750fe740006a8d2cb","6203ed1750fe740006a8d2ca"
davaofamous,"63cf525463f2d60007598211","63b7b1958149620008bd8202"
hillbarnrestaurant,"6283db45a138000007813dd8","6283db45a138000007813dd7"
famouscountrywaffle,"65b76f036859a4000600bb12","65b76f036859a4000600bb10"
